process,init,remove_even,cancel_Bcast,cache
1,2.939913,1.3831227,1.3571779,0.7985583
2,2.0737231,0.988993,0.934618,0.4059078
3,1.9343542,0.9009073,0.8675971,0.2716103
4,1.792541,0.849045,0.8283117,0.2011908
5,1.6598541,0.8064615,0.8128369,0.1609744
6,1.5822301,0.7577485,0.7597212,0.13638
7,1.5607526,0.7343083,0.7352254,0.1191407
8,1.5543943,0.7339958,0.728768,0.104555
9,1.5463899,0.7275144,0.7201501,0.1131739
10,1.5707113,0.7155035,0.7040798,0.0983017
11,1.5429318,0.7077419,0.6987109,0.1210238
12,1.5169728,0.7012019,0.652419,0.0987327
13,1.511105,0.6884045,0.6672361,0.1021074
14,1.5143126,0.6805694,0.6476948,0.0741714
15,1.5042757,0.6661019,0.6371161,0.0882142
16,1.4981667,0.6526874,0.5880536,0.0728241
17,1.5037043,0.6446772,0.6039319,0.0972748
18,1.4900499,0.6363807,0.5696536,0.0663968
19,1.4939718,0.6431353,0.5820028,0.0906135
20,1.4612175,0.6228799,0.5306066,0.0614247
,,,,
,,,,
process,init,remove_even,cancel_Bcast,cache
1,1,2.125561962,2.166195751,3.68152582
2,1.417697956,2.972632769,3.145577123,7.24280982
3,1.519842126,3.263280251,3.388569418,10.82401146
4,1.640081315,3.462611522,3.54928344,14.61256181
5,1.7711876,3.645447427,3.616854747,18.26323316
6,1.85808183,3.879800488,3.869726157,21.55677519
7,1.883650875,4.003649421,3.998655378,24.67597555
8,1.891356009,4.005353982,4.034086294,28.11833963
9,1.901146018,4.041037538,4.082361441,25.97695228
10,1.87170806,4.108872982,4.175539477,29.90704128
11,1.905406966,4.1539338,4.207624355,24.29202355
12,1.938012995,4.192676888,4.50617318,29.77648743
13,1.94553853,4.27061851,4.406106025,28.79235981
14,1.941417512,4.319784287,4.53904061,39.63674678
15,1.95437113,4.413608488,4.614407013,33.32698137
16,1.962340372,4.504320139,4.999396314,40.37005607
17,1.955113781,4.560286916,4.867954483,30.22276067
18,1.973029897,4.619739411,5.160878471,44.27793207
19,1.967850397,4.571220084,5.051372605,32.44453641
20,2.011961258,4.719871359,5.540664213,47.86206526
,,,,
,,,,
process,init,remove_even,cancel_Bcast,cache
1,1,2.125561962,2.166195751,3.68152582
2,0.708848978,1.486316384,1.572788562,3.62140491
3,0.506614042,1.087760084,1.129523139,3.60800382
4,0.410020329,0.865652881,0.88732086,3.653140452
5,0.35423752,0.729089485,0.723370949,3.652646632
6,0.309680305,0.646633415,0.64495436,3.592795864
7,0.269092982,0.571949917,0.571236483,3.525139364
8,0.236419501,0.500669248,0.504260787,3.514792454
9,0.211238446,0.449004171,0.453595716,2.886328031
10,0.187170806,0.410887298,0.417553948,2.990704128
11,0.173218815,0.377630345,0.382511305,2.208365777
12,0.161501083,0.349389741,0.375514432,2.481373952
13,0.14965681,0.328509116,0.338931233,2.214796908
14,0.138672679,0.30855602,0.324217186,2.831196198
15,0.130291409,0.294240566,0.307627134,2.221798758
16,0.122646273,0.281520009,0.31246227,2.523128504
17,0.115006693,0.268252172,0.286350264,1.777809451
18,0.109612772,0.256652189,0.286715471,2.459885115
19,0.103571074,0.240590531,0.265861716,1.707607179
20,0.100598063,0.235993568,0.277033211,2.393103263
