process,init,remove_even,cancel_Bcast,cache,,
1,2.934518,1.379645,1.346577,0.842729,,1
2,2.0901435,0.9851665,0.9303685,0.4239705,,1.987706692
3,1.9296755,0.9012455,0.869909,0.273267,,3.083903289
4,1.8048085,0.847645,0.8286415,0.2041785,,4.127413023
5,1.6622815,0.803432,0.80254,0.1655025,,5.091941209
6,1.5814265,0.7567215,0.7586075,0.1351155,,6.237100851
7,1.562117,0.7336205,0.7332845,0.1269395,,6.638824007
8,1.554559,0.7346995,0.728409,0.1101005,,7.65417959
9,1.5469055,0.727487,0.717049,0.115953,,7.267849905
10,1.5676945,0.7129255,0.705173,0.116132,,7.256647608
11,1.537756,0.707649,0.6987365,0.1086225,,7.758328155
12,1.519431,0.7038735,0.655724,0.116739,,7.218915701
13,1.516827,0.687209,0.6766915,0.0875635,,9.624204149
14,1.522752,0.678456,0.658713,0.110561,,7.622299002
15,1.502572,0.666047,0.664541,0.0953845,,8.835072784
16,1.499254,0.6457445,0.60557,0.093396,,9.023180864
17,1.506301,0.646568,0.626958,0.103114,,8.17278934
18,1.4890215,0.6350275,0.5613325,0.1025525,,8.217537359
19,1.4828035,0.649381,0.60183,0.0913355,,9.226740971
20,1.452812,0.623524,0.575192,0.0601105,,14.01966379
process,init,remove_even,cancel_Bcast,cache,,
1,2.90856035,2.522293167,1.407470538,0.84431725,,1
2,2.0737231,0.988993,0.934618,0.424198,,1.990384797
3,1.9343542,0.9009073,0.8675971,0.2737443,,3.084328149
4,1.792541,0.849045,0.8283117,0.20315,,4.156127246
5,1.6598541,0.8064615,0.8128369,0.16522855,,5.109996124
6,1.5822301,0.7577485,0.7597212,0.13542465,,6.234590601
7,1.5607526,0.7343083,0.7352254,0.12672055,,6.662828168
8,1.557354,0.739992417,0.737863538,0.11143655,,7.576663581
9,1.5463899,0.7275144,0.7201501,0.1185836,,7.120017018
10,1.5707113,0.7155035,0.7040798,0.11317045,,7.460580478
11,1.5429318,0.7077419,0.6987109,0.1047023,,8.06397997
12,1.5169728,0.7012019,0.652419,0.1013644,,8.329524468
13,1.511105,0.6884045,0.6672361,0.0885505,,9.53486711
14,1.5143126,0.6805694,0.6476948,0.10132725,,8.332578354
15,1.5042757,0.6661019,0.6371161,0.0901232,,9.368478372
16,1.4981667,0.6526874,0.5880536,0.0885932,,9.530271511
17,1.5037043,0.6446772,0.6039319,0.08734345,,9.666634991
18,1.4900499,0.6363807,0.5696536,0.08723465,,9.678691323
19,1.4939718,0.6431353,0.5820028,0.0883782,,9.553456056
20,1.45949075,0.6228799,0.5306066,0.06128695,,13.77646057
